,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
197,0.553,0.819,2,-3.083,1,0.257,0.368,1.36e-05,0.0915,0.761,87.913,192348,4
198,0.83,0.748,1,-5.362,1,0.162,0.354,0.0,0.0992,0.523,133.028,177443,4
199,0.627,0.849,1,-3.167,0,0.153,0.0913,0.0,0.145,0.818,89.907,158087,4
200,0.783,0.524,5,-6.455,0,0.0554,0.241,0.0,0.271,0.839,117.496,164896,4
201,0.815,0.832,5,-3.622,0,0.104,0.538,1.01e-06,0.0686,0.912,110.01,141320,4
202,0.828,0.714,10,-6.852,0,0.108,0.185,3.15e-06,0.244,0.407,95.967,143179,4
203,0.829,0.81,2,-4.801,1,0.144,0.0424,0.0,0.0748,0.707,114.044,161485,4
204,0.857,0.766,0,-3.699,1,0.0978,0.108,0.0,0.0817,0.864,106.024,165019,4
205,0.813,0.81,3,-5.382,0,0.0809,0.112,1.59e-06,0.377,0.632,93.005,392867,4
206,0.83,0.623,6,-4.056,1,0.0801,0.0219,0.0,0.0812,0.614,101.036,223366,4
207,0.903,0.817,8,-3.972,1,0.095,0.0272,0.000311,0.242,0.732,102.014,217360,4
208,0.562,0.755,7,-4.367,0,0.112,0.0967,2.25e-05,0.143,0.609,83.997,277693,4
209,0.771,0.769,0,-3.504,0,0.0694,0.18,1.57e-05,0.345,0.931,167.969,289899,4
210,0.897,0.864,11,-3.735,0,0.147,0.252,0.0,0.517,0.542,95.981,207627,4
211,0.639,0.791,10,-4.443,0,0.253,0.0275,0.0,0.362,0.939,92.603,222347,4
212,0.495,0.705,9,-4.097,1,0.153,0.538,0.0,0.123,0.745,86.078,154667,4
213,0.72,0.731,10,-7.372,1,0.0927,0.285,0.0,0.11,0.614,128.988,215813,4
214,0.715,0.634,6,-7.737,1,0.0341,0.0401,1.25e-06,0.0509,0.63,126.023,188773,4
215,0.732,0.912,11,-4.144,1,0.0602,0.189,0.0,0.375,0.893,128.006,201000,4
216,0.638,0.865,7,-5.369,0,0.0372,0.00933,0.000549,0.0547,0.961,132.018,201413,4
217,0.806,0.929,10,-3.017,1,0.121,0.263,0.0,0.0622,0.602,97.99,232373,4
218,0.708,0.87,10,-4.473,1,0.0557,0.0894,0.0,0.347,0.547,99.963,215800,4
219,0.674,0.834,2,-6.089,0,0.0477,0.118,0.00584,0.281,0.795,130.034,194000,4
220,0.636,0.798,10,-7.018,1,0.127,0.0876,0.0,0.372,0.452,128.028,173040,4
221,0.571,0.823,8,-5.874,1,0.193,0.118,6.94e-05,0.0416,0.913,128.98,197773,4
222,0.731,0.91,7,-4.625,1,0.068,0.258,0.0,0.103,0.888,120.031,205056,4
223,0.747,0.872,8,-4.233,1,0.0355,0.0742,0.00039,0.149,0.882,128.013,231562,4
224,0.637,0.863,8,-3.619,1,0.0728,0.479,0.0,0.231,0.972,84.951,185078,4
225,0.803,0.887,1,-5.714,1,0.0527,0.278,1.79e-06,0.0636,0.721,117.021,163760,4
226,0.764,0.745,5,-4.563,0,0.0475,0.0488,0.0,0.172,0.727,93.013,228933,4
227,0.745,0.843,1,-4.383,0,0.0632,0.0898,0.0,0.264,0.893,135.95,202192,4
228,0.691,0.937,2,-1.343,1,0.118,0.114,5.95e-05,0.82,0.9,100.122,178264,4
229,0.832,0.688,5,-4.923,0,0.129,0.244,1.62e-06,0.116,0.406,100.025,213656,4
230,0.876,0.781,8,-2.256,0,0.177,0.00902,0.0,0.354,0.705,119.987,272000,4
231,0.677,0.813,6,-4.01,0,0.187,0.219,0.0,0.18,0.573,169.844,194989,4
232,0.79,0.766,6,-3.497,0,0.111,0.324,0.0,0.0832,0.825,82.026,226010,4
233,0.627,0.794,1,-4.687,1,0.197,0.0759,1.57e-05,0.29,0.797,98.79,329920,4
234,0.773,0.757,1,-4.959,1,0.0526,0.0864,3.73e-06,0.0727,0.858,88.006,226520,4
235,0.704,0.691,6,-5.414,1,0.158,0.255,0.0,0.129,0.427,143.982,270493,4
236,0.766,0.82,0,-3.135,1,0.0688,0.148,0.0,0.659,0.819,164.049,239206,4
237,0.895,0.789,5,-3.802,0,0.0895,0.3,8.6e-06,0.158,0.96,88.004,218593,4
238,0.744,0.754,8,-3.829,1,0.24,0.0213,1.33e-06,0.14,0.841,180.039,228662,4
239,0.755,0.72,1,-4.215,0,0.0826,0.348,0.0,0.168,0.713,175.93,187493,4
240,0.774,0.654,1,-6.932,1,0.234,0.192,0.0,0.303,0.846,166.001,477675,4
241,0.755,0.82,5,-4.408,0,0.0528,0.102,0.0,0.577,0.867,93.995,182293,4
242,0.947,0.958,10,-4.146,1,0.171,0.0404,0.0,0.0916,0.801,115.983,203781,4
243,0.836,0.782,7,-5.93,1,0.0833,0.328,9.41e-06,0.211,0.846,98.0,221768,4
244,0.777,0.84,7,-4.384,1,0.082,0.151,1.24e-06,0.249,0.804,97.979,262707,4
245,0.731,0.849,4,-4.607,0,0.0431,0.0492,1.07e-05,0.105,0.606,93.982,214880,4
246,0.708,0.797,0,-3.095,0,0.0391,0.4,0.0,0.096,0.51,88.015,210000,4
247,0.712,0.851,0,-3.359,1,0.149,0.207,4e-06,0.0334,0.542,95.973,182676,4
248,0.691,0.765,8,-4.727,1,0.111,0.464,3.29e-06,0.203,0.855,174.021,246000,4
249,0.757,0.892,6,-5.321,1,0.124,0.178,4.19e-05,0.0719,0.936,127.014,255947,4
250,0.77,0.804,4,-5.479,1,0.0623,0.16,1e-05,0.193,0.568,94.017,205520,4
251,0.782,0.767,9,-7.981,0,0.0871,0.266,3.64e-05,0.0947,0.622,88.005,304091,4
252,0.813,0.92,4,-2.643,0,0.055,0.279,6.93e-06,0.329,0.767,115.994,229680,4
253,0.775,0.786,1,-4.59,0,0.0503,0.0419,0.000413,0.0875,0.19,114.996,180387,4
254,0.808,0.697,10,-5.899,1,0.241,0.041,0.0,0.0546,0.554,95.06,232020,4
255,0.786,0.819,0,-5.062,1,0.108,0.207,0.0,0.0969,0.775,94.002,187080,4
256,0.836,0.842,5,-5.233,1,0.105,0.285,0.0,0.277,0.757,94.946,186507,4
