,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
193,0.449,0.333,7,-10.311,1,0.0272,0.807,6.95e-05,0.0597,0.494,86.612,186667,3
194,0.44,0.655,0,-13.406,1,0.0459,0.581,7.14e-05,0.915,0.898,161.712,193013,4
195,0.751,0.83,1,-6.215,1,0.0951,0.212,7.94e-06,0.0584,0.935,76.489,149627,4
196,0.611,0.526,4,-10.692,1,0.0997,0.0791,0.0003,0.07,0.881,128.835,139400,4
197,0.52,0.829,0,-6.228,1,0.0806,0.386,6.2e-05,0.227,0.744,147.997,141693,4
198,0.63,0.802,4,-5.028,1,0.0325,0.445,0.0,0.168,0.945,144.386,162733,4
199,0.501,0.741,2,-8.5,0,0.0423,0.836,0.00162,0.407,0.801,140.155,139733,4
200,0.516,0.629,7,-8.592,0,0.0453,0.323,0.0,0.106,0.805,91.491,132267,4
201,0.611,0.444,10,-10.599,1,0.0363,0.477,0.0,0.183,0.958,117.473,131333,4
202,0.413,0.486,8,-6.193,1,0.0322,0.699,3.49e-05,0.111,0.705,79.652,169691,4
203,0.391,0.883,7,-5.973,1,0.0442,0.264,0.0,0.157,0.927,75.442,141333,4
204,0.415,0.359,7,-11.094,1,0.0334,0.707,6.53e-05,0.319,0.404,146.029,189520,4
205,0.601,0.467,4,-10.041,1,0.0263,0.716,0.0,0.135,0.66,129.578,129333,4
206,0.492,0.771,10,-7.78,1,0.0991,0.13,0.0,0.0819,0.965,187.015,128760,4
207,0.416,0.726,6,-5.254,1,0.0573,0.687,0.0,0.27,0.895,182.219,145013,4
208,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,269907,3
209,0.67,0.365,0,-10.158,1,0.0564,0.525,0.0,0.0575,0.45,119.344,147147,4
210,0.389,0.396,7,-7.999,1,0.0332,0.887,0.0,0.0828,0.585,171.86,192053,3
211,0.212,0.383,10,-10.071,1,0.0347,0.723,0.0,0.299,0.452,173.79,191160,3
212,0.295,0.678,7,-7.702,1,0.249,0.827,0.0,0.429,0.765,177.859,249093,3
213,0.597,0.651,9,-8.713,1,0.0353,0.624,0.0,0.115,0.873,127.281,174987,4
214,0.422,0.632,9,-7.121,0,0.0779,0.749,1.25e-06,0.594,0.81,134.715,245213,4
215,0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726,145747,4
216,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,155227,4
217,0.59,0.805,0,-6.481,1,0.0371,0.137,0.0,0.0996,0.797,138.514,154200,4
218,0.603,0.689,0,-10.729,1,0.0304,0.0239,3.27e-06,0.33,0.761,99.088,206440,4
219,0.588,0.948,8,-4.073,1,0.0974,0.147,7.92e-05,0.0787,0.962,137.294,134067,4
220,0.671,0.725,2,-10.065,1,0.065,0.296,0.00022,0.0889,0.956,85.27,140400,4
221,0.548,0.827,4,-6.197,1,0.0336,0.147,0.0,0.147,0.777,130.043,164760,4
222,0.551,0.86,7,-7.839,1,0.0796,0.262,4.57e-06,0.0558,0.723,136.921,141507,4
223,0.416,0.563,1,-8.724,0,0.0298,0.207,0.0,0.343,0.9,77.56,127853,4
224,0.767,0.331,1,-10.777,0,0.0337,0.64,0.0,0.0681,0.636,113.312,149693,4
225,0.505,0.0477,8,-23.032,1,0.0278,0.91,2.61e-06,0.0675,0.309,78.856,184227,3
226,0.49,0.455,7,-10.708,1,0.0312,0.821,0.257,0.221,0.413,80.371,171373,3
227,0.522,0.583,0,-8.554,1,0.0269,0.551,1.65e-05,0.343,0.736,127.706,156187,4
228,0.595,0.643,5,-9.275,1,0.0365,0.76,0.0,0.538,0.73,135.633,158040,4
229,0.485,0.835,5,-8.871,0,0.101,0.0225,0.000114,0.0766,0.974,143.853,118907,4
230,0.483,0.677,0,-5.91,1,0.0593,0.283,0.0,0.321,0.842,170.72,131867,4
231,0.66,0.583,4,-7.361,1,0.0512,0.282,0.0,0.0553,0.941,125.44,144147,4
232,0.544,0.682,9,-9.243,1,0.0638,0.00322,0.498,0.0931,0.814,98.602,130357,4
233,0.388,0.501,11,-11.296,0,0.0731,0.778,0.0,0.305,0.532,158.348,166200,4
234,0.48,0.689,4,-7.921,1,0.0645,0.78,0.0,0.149,0.596,117.409,187760,4
235,0.366,0.391,3,-12.322,1,0.0425,0.854,0.0,0.352,0.461,119.182,164547,3
236,0.396,0.286,6,-11.494,0,0.0283,0.548,8.51e-06,0.122,0.605,105.289,143867,4
237,0.301,0.375,1,-9.76,1,0.0278,0.681,0.0,0.144,0.393,98.076,172547,4
238,0.462,0.803,2,-8.357,1,0.0585,0.152,0.0,0.0788,0.896,137.789,163327,4
239,0.368,0.891,1,-8.067,0,0.26,0.024,0.000611,0.194,0.527,142.216,178040,4
240,0.0,0.405,0,-9.935,1,0.0,0.842,0.00114,0.198,0.0,0.0,147000,0
241,0.551,0.686,4,-11.969,1,0.0536,0.346,0.0,0.33,0.982,70.959,106067,4
242,0.604,0.721,9,-6.19,1,0.0246,0.00827,0.000782,0.164,0.861,150.922,182520,4
243,0.369,0.835,9,-2.83,0,0.0571,0.558,0.0,0.0692,0.467,146.028,134453,4
244,0.334,0.853,11,-5.884,1,0.0877,0.51,0.0,0.19,0.347,98.303,181360,4
245,0.557,0.152,5,-16.91,1,0.0319,0.912,4.41e-06,0.0906,0.457,110.879,165453,4
246,0.682,0.444,7,-7.689,1,0.0289,0.257,0.0,0.115,0.91,130.704,163080,4
247,0.462,0.319,0,-12.448,1,0.0255,0.74,0.000758,0.0803,0.489,89.672,181667,4
248,0.467,0.412,4,-10.455,1,0.0291,0.543,0.741,0.0982,0.75,103.454,164427,4
249,0.484,0.323,4,-10.496,0,0.0344,0.937,0.0,0.123,0.348,104.514,227053,4
250,0.571,0.2,10,-13.711,0,0.0397,0.931,0.0,0.107,0.341,104.91,225893,4
251,0.576,0.528,10,-9.832,1,0.0325,0.731,3.64e-05,0.156,0.707,104.979,167507,4
252,0.383,0.77,0,-7.096,1,0.0487,0.209,0.00432,0.13,0.917,172.467,122867,4
253,0.665,0.0989,11,-19.132,1,0.0458,0.93,0.843,0.11,0.591,83.605,187867,4
254,0.661,0.67,2,-5.734,1,0.0386,0.162,1.73e-06,0.0737,0.935,132.032,122160,4
255,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,165000,4
256,0.691,0.581,10,-7.85,1,0.065,0.557,4.62e-05,0.147,0.91,126.615,174440,4
257,0.566,0.953,9,-6.504,1,0.0393,0.0546,2.86e-05,0.0637,0.887,124.284,131360,4
258,0.596,0.791,7,-8.88,1,0.0446,0.425,0.000295,0.0886,0.98,129.237,163000,4
259,0.527,0.48,4,-9.61,1,0.028,0.334,0.0,0.0702,0.706,139.388,120853,4
260,0.509,0.706,6,-9.427,1,0.0843,0.0576,1.69e-06,0.516,0.446,122.015,245267,4
261,0.579,0.0858,2,-21.308,1,0.0401,0.898,6.58e-05,0.689,0.341,119.199,395667,4
262,0.322,0.392,8,-9.757,1,0.0369,0.767,2.07e-06,0.104,0.464,95.85,149293,3
263,0.324,0.331,2,-8.837,1,0.0328,0.837,3.57e-05,0.23,0.288,143.685,182520,3
264,0.467,0.615,7,-7.252,1,0.0348,0.733,0.0,0.384,0.714,79.026,177720,4
265,0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792,161960,4
266,0.635,0.376,11,-8.817,1,0.0405,0.813,0.0,0.152,0.733,119.459,182640,4
267,0.566,0.49,0,-10.867,1,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,153333,4
268,0.388,0.368,1,-8.375,1,0.0269,0.808,0.0083,0.0449,0.466,95.735,179467,3
269,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529,125667,4
270,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813,4
271,0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263,369600,4
272,0.339,0.208,0,-16.725,1,0.0308,0.396,0.000519,0.18,0.288,98.54,218013,3
273,0.425,0.369,4,-11.876,1,0.0379,0.183,0.00126,0.112,0.65,176.625,124693,3
