,title,artists,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
238,Bobo,J Balvin,spotify:track:5kdTuoKeqdnblCop75wMuX,0.742,0.893,10,-2.671,1,0.117,0.115,6.67e-05,0.125,0.777,177.879,209427,4
239,Borro Cassette,Maluma,spotify:track:6DUdDIRgLqCGq1DwkNWQTN,0.73,0.701,5,-5.885,0,0.106,0.132,0.0,0.151,0.785,175.95,207307,4
240,Sin Contrato,Maluma,spotify:track:3yHJs5NmQk2ROAWCfjniXV,0.748,0.866,11,-3.41,0,0.057,0.111,0.0,0.0727,0.839,96.037,221053,4
241,Ay Vamos,J Balvin,spotify:track:6Ges5C2IE738iJh4HyQizQ,0.718,0.711,8,-5.746,0,0.11,0.157,5.54e-05,0.1,0.92,173.916,226413,4
242,6 AM,J Balvin,spotify:track:7mPwkbaoiQ5bf8FPbRJzUr,0.747,0.739,5,-5.256,0,0.0931,0.142,0.0,0.273,0.737,175.978,243227,4
244,Ginza,J Balvin,spotify:track:2C2TGgFzrTRIOdQS1vUN5h,0.73,0.809,5,-6.406,0,0.0876,0.208,0.0013,0.0804,0.825,101.965,171093,4
245,La Nueva Y La Ex,Daddy Yankee,spotify:track:6WuufZDBNoEJBTinRiznhO,0.64,0.943,5,-3.542,1,0.137,0.0464,0.0,0.137,0.637,198.062,197053,4
246,Propuesta Indecente,Romeo Santos,spotify:track:5PycBIeabfvX3n9ILG7Vrv,0.757,0.632,2,-6.83,1,0.0549,0.499,0.0,0.0723,0.742,122.936,235133,4
0,Perros Salvajes,Daddy Yankee,spotify:track:4oROqjxNSBrVxrcSaW77Mc,0.806,0.804,6,-4.84,0,0.146,0.0615,0.0,0.115,0.766,88.018,190311,4
1,Pasarela,Daddy Yankee,spotify:track:7uUYUy2qLfev9ppNvFBHpX,0.842,0.893,9,-4.277,1,0.0462,0.104,0.0,0.289,0.713,121.035,193627,4
2,Eres Mía,Romeo Santos,spotify:track:6I86RF3odBlcuZA9Vfjzeq,0.843,0.729,6,-3.634,0,0.0374,0.401,1.2e-06,0.206,0.903,123.046,250640,4
3,Hilito,Romeo Santos,spotify:track:6CKlQHQIxhWtq7MnEJ6QCz,0.872,0.726,5,-3.513,0,0.0324,0.346,0.0,0.114,0.875,117.012,234760,4
4,Inocente,Romeo Santos,spotify:track:6rXvMpWJbTyhSrVWye7jPE,0.733,0.794,5,-4.328,1,0.0447,0.359,0.0,0.16,0.857,140.186,236293,4
5,Cancioncitas de Amor,Romeo Santos,spotify:track:6bcdiJvYNX115yvbh3wASz,0.783,0.781,4,-3.079,1,0.0419,0.574,0.0,0.323,0.771,125.9,237093,4
6,Necio (feat. Carlos Santana),Romeo Santos,spotify:track:3DKWF8is9hzp84aSxnhlag,0.869,0.684,1,-4.915,1,0.0456,0.362,0.0,0.0737,0.88,115.052,264267,4
8,Tranquila,J Balvin,spotify:track:6klAm7Z2oR2FM7lozc7agF,0.731,0.67,4,-6.43,0,0.203,0.0278,0.0,0.131,0.658,175.944,199933,4
9,Voy A Beber (Original),Nicky Jam,spotify:track:1hMW2InUHSFeujNyQhWkMR,0.789,0.736,9,-5.738,0,0.0691,0.0485,0.0,0.045,0.926,82.011,213560,4
10,A Que No Te Atreves,"Tito ""El Bambino""",spotify:track:3H7UaBpIlxh6gCC9LBDzsM,0.772,0.796,0,-5.205,1,0.0755,0.27,0.0,0.307,0.804,89.993,186760,4
12,Hasta el Amanecer,Nicky Jam,spotify:track:5Fim1gaXBgsiFfsQAfQSDS,0.832,0.608,6,-6.042,0,0.0385,0.282,0.0,0.0761,0.589,94.013,198707,4
13,Picky - Remix,Joey Montana,spotify:track:1T4yFuWR3UFXQ9Og8IKMmi,0.786,0.812,8,-3.038,1,0.0491,0.0884,0.0,0.265,0.675,93.226,226400,4
16,La Temperatura (feat. Eli Palacios),Maluma,spotify:track:03f28Kmu5AlIdKAfEJiI8F,0.763,0.82,1,-4.873,0,0.0373,0.0515,4.65e-05,0.316,0.905,119.971,224787,4
18,Sola (Remix),Anuel AA,spotify:track:5q2JbCNi4FcnglgPfxcV65,0.639,0.869,11,-4.024,1,0.147,0.27,0.0,0.0802,0.767,169.801,307910,4
23,Otra vez (feat. J Balvin),Zion & Lennox,spotify:track:3QwBODjSEzelZyVjxPOHdq,0.832,0.772,10,-5.429,1,0.1,0.0559,0.000486,0.44,0.704,96.016,209453,4
25,Chillax (feat. Ky-Mani Marley),Farruko,spotify:track:1lxswgIpzV6HhENRvkflES,0.827,0.646,1,-4.727,0,0.0766,0.0724,0.0,0.247,0.512,92.057,197840,4
27,La Rompe Corazones,Daddy Yankee,spotify:track:2Q85xwXagilpHKTfdrbC7M,0.685,0.859,5,-2.595,0,0.0553,0.116,0.0,0.317,0.891,176.018,204520,4
29,Me Rehúso,Danny Ocean,spotify:track:6ifUES3keWjwXgae8pXI3o,0.744,0.804,1,-6.327,1,0.0677,0.0231,0.0,0.0494,0.426,104.823,205715,4
30,Se Preparó,Ozuna,spotify:track:1m69ELEgE6k5ZWsap40ozt,0.739,0.821,1,-4.233,1,0.0852,0.222,9.6e-06,0.311,0.693,171.077,188080,4
31,Felices los 4,Maluma,spotify:track:1RouRzlg8OKFeqc6LvdxmB,0.766,0.756,5,-5.861,1,0.132,0.213,0.0,0.349,0.716,94.027,230000,4
32,Ay Mi Dios,IAmChino,spotify:track:5Uel5PmPBZICA0TQTI912U,0.761,0.829,0,-3.203,0,0.0682,0.169,0.0,0.189,0.814,92.034,252003,4
36,Cuéntale,Don Omar,spotify:track:4ocXAchdkulq97w6m1ZaPv,0.657,0.933,9,-3.624,0,0.181,0.17,0.000137,0.204,0.637,89.931,261307,4
37,Atrévete-Te-Te,Calle 13,spotify:track:1q8NdCAQ9QUjpYiqzdd3mv,0.829,0.878,9,-5.951,1,0.101,0.0959,0.0,0.776,0.883,87.991,239307,4
38,Salió El Sol,Don Omar,spotify:track:48NXpYRuvv9izul4oXhqS9,0.887,0.701,4,-5.892,0,0.0873,0.106,0.00948,0.0466,0.965,110.002,315293,4
39,Rompe,Daddy Yankee,spotify:track:0Bp4vQU6sQsXpU5ygD1Tx3,0.687,0.806,1,-6.019,0,0.0549,0.0358,5.83e-06,0.0569,0.534,176.064,189040,4
